Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 31,0.203378817,CCOc1ccccc1NC(=O)/C=C/C(=O)N,C12H14N2O3,234.25,17,6,0.17,6,3,2,64.1,81.42,1.98,0.61,0.87,0.67,1.05,1.03,-1.54,6.73,0.0287,Very soluble,-1.89,2.99,0.0128,Very soluble,-2.62,0.566,0.00242,Soluble,High,No,No,No,No,No,No,No,-7.3,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 32,0.13,O=C(Nc1ccc(cc1)C)/C=C/C(=O)N,C11H12N2O2,204.23,15,6,0.09,4,2,2,57.77,72.19,1.2,0.82,0.78,0.95,1.1,0.97,-1.65,4.52,0.0221,Very soluble,-1.92,2.47,0.0121,Very soluble,-2.47,0.692,0.00339,Soluble,High,No,No,No,No,No,No,No,-6.96,0,0,0,0,0,0.55,0,1,1,1.71
Molecule 33,0.14114514,CN(c1ccc(cc1)NC(=O)/C=C/C(=O)O)C,C12H14N2O3,234.25,17,6,0.17,5,3,2,65.87,69.64,1.51,0.77,1.14,1.07,0.52,1.0,-1.71,4.58,0.0196,Very soluble,-1.81,3.61,0.0154,Very soluble,-1.98,2.45,0.0105,Soluble,High,No,No,No,No,No,No,No,-7.18,0,0,0,0,0,0.85,1,1,1,1.95
Molecule 34,0.230283912,S=C1NC(=O)/C(=C\c2cccnc2)/N1,C9H7N3OS,205.24,14,6,0.0,1,2,2,63.25,86.11,1.04,0.61,-0.44,-0.31,2.29,0.64,-1.75,3.67,0.0179,Very soluble,-1.99,2.09,0.0102,Very soluble,-2.98,0.217,0.00106,Soluble,High,No,No,Yes,No,No,No,No,-7.12,0,1,0,0,0,0.55,0,2,1,2.51
Molecule 35,0.184803606,COC(=O)C(Sc1nc2c([nH]1)cccc2)C,C11H12N2O2S,236.29,16,9,0.27,4,3,1,63.52,80.28,2.18,2.65,2.22,1.5,2.45,2.2,-3.13,0.176,0.000747,Soluble,-3.99,0.0243,0.000103,Soluble,-3.54,0.068,0.000288,Soluble,High,No,No,Yes,Yes,No,No,No,-5.86,0,0,0,0,0,0.55,0,0,1,2.63
Molecule 36,0.341391509,C=CCNc1[nH]c2c(n1)n(C)c(=O)[nH]c2=O,C9H11N5O2,221.22,16,9,0.22,3,3,3,60.68,95.57,1.14,0.24,-0.64,-0.07,1.01,0.33,-1.58,5.81,0.0262,Very soluble,-1.81,3.45,0.0156,Very soluble,-2.45,0.78,0.00352,Soluble,High,No,No,Yes,No,No,No,No,-7.48,0,1,0,0,0,0.55,0,1,1,2.3
Molecule 37,0.198713826,N#Cc1cccc(c1C#N)[N+](=O)[O-],C8H3N3O2,173.13,13,6,0.0,1,4,0,44.69,93.4,0.88,0.74,1.34,0.49,-0.37,0.62,-1.66,3.83,0.0221,Very soluble,-2.28,0.908,0.00524,Soluble,-1.95,1.96,0.0113,Soluble,High,No,No,Yes,No,No,No,Yes,-6.83,0,1,0,0,1,0.55,0,2,1,2.05
Molecule 39,0.241048593,Cc1nc(N/N=C/c2ccc(c(c2)O)O)nc(c1)O,C12H12N4O3,260.25,19,12,0.08,3,6,4,70.54,110.86,1.73,1.82,1.16,-0.07,1.02,1.13,-2.87,0.351,0.00135,Soluble,-3.77,0.0444,0.000171,Soluble,-2.98,0.273,0.00105,Soluble,High,No,No,No,No,No,No,No,-6.6,0,0,0,0,0,0.55,2,2,0,2.7
Molecule 40,0.240993789,[O-]S(=O)(=O)c1nc2c(s1)cccc2.[K+],C7H4KNO3S2,253.34,14,9,0.0,1,4,0,47.63,106.71,-4.45,1.51,2.28,0.58,1.47,0.28,-2.77,0.429,0.00169,Soluble,-3.36,0.111,0.000437,Soluble,-2.33,1.19,0.00471,Soluble,High,No,Yes,No,No,No,No,No,-6.77,0,1,0,0,0,0.55,0,1,0,2.6
Molecule 42,0.10571241,N#CC(=C(Cl)Cl)NC(=O)C(C)(C)C,C8H10Cl2N2O,221.08,13,0,0.5,3,2,1,52.18,52.89,2.04,2.48,2.32,1.09,1.58,1.9,-2.58,0.588,0.00266,Soluble,-3.24,0.129,0.000582,Soluble,-2.51,0.688,0.00311,Soluble,High,Yes,No,No,No,No,No,No,-5.89,0,0,0,0,0,0.55,0,1,1,2.41
Molecule 44,0.143047239,O=C(Nc1ccc(cc1)C)/C=C/C(=O)O,C11H11NO3,205.21,15,6,0.09,4,3,2,56.63,66.4,1.18,1.47,1.38,1.35,1.34,1.34,-2.07,1.75,0.0085,Soluble,-2.47,0.694,0.00338,Soluble,-2.25,1.14,0.00556,Soluble,High,Yes,No,No,No,No,No,No,-6.51,0,0,0,0,0,0.85,0,1,1,1.68
Molecule 45,0.117056856,O=C(NC1CCCCC1)/C=C/C(=O)O,C10H15NO3,197.23,14,0,0.6,4,3,2,52.37,66.4,1.58,1.12,1.08,0.66,0.94,1.07,-1.5,6.17,0.0313,Very soluble,-2.11,1.54,0.0078,Soluble,-0.79,32.4,0.164,Soluble,High,No,No,No,No,No,No,No,-6.71,0,0,0,0,1,0.85,0,1,1,1.98
Molecule 46,0.139141743,Oc1ccc(cc1)/C=[N+](/c1ccccc1)\[O-],C13H11NO2,213.23,16,12,0.0,2,2,1,65.53,48.98,1.98,1.61,2.65,2.54,1.18,1.99,-2.6,0.536,0.00252,Soluble,-2.25,1.2,0.00562,Soluble,-3.87,0.0289,0.000136,Soluble,High,Yes,No,No,No,No,No,No,-6.46,0,0,0,0,0,0.55,0,3,1,2.35
Molecule 47,0.171936759,O=C(Nc1ccc(cc1)N1CCOCC1)/C=C/C(=O)O,C14H16N2O4,276.29,20,6,0.29,5,4,2,77.39,78.87,1.62,0.61,0.53,0.4,0.95,0.82,-1.83,4.09,0.0148,Very soluble,-1.84,3.99,0.0144,Very soluble,-2.05,2.49,0.00899,Soluble,High,No,No,No,No,No,No,No,-7.55,0,0,0,0,0,0.56,1,1,0,2.28
Molecule 50,0.125896934,OC(=O)C12CC3CC(C1)CC(C2)(C3)Br,C11H15BrO2,259.14,14,0,0.91,1,2,1,58.07,37.3,1.94,2.39,2.8,2.9,2.58,2.52,-2.89,0.337,0.0013,Soluble,-2.81,0.397,0.00153,Soluble,-2.4,1.04,0.00403,Soluble,High,Yes,No,No,No,No,No,No,-6.18,0,0,0,0,0,0.85,0,1,0,4.69
Molecule 51,0.351907935,CCOC(=O)CSc1nnc2c(n1)[nH]c1c2cccc1,C13H12N4O2S,288.32,20,13,0.23,5,5,1,76.62,106.06,2.12,2.21,2.16,1.7,2.62,2.16,-3.17,0.195,0.000675,Soluble,-4.07,0.0244,8.48e-05,Moderately soluble,-4.83,0.00424,1.47e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.49,0,0,0,0,0,0.55,0,0,0,2.7
Molecule 52,0.273067332,COc1cc(OC)ccc1C=C1C(=O)NC(=S)NC1=O,C13H12N2O4S,292.31,20,6,0.15,3,4,2,83.45,108.75,1.83,1.5,-0.25,0.06,2.76,1.18,-2.62,0.699,0.00239,Soluble,-3.39,0.119,0.000406,Soluble,-3.76,0.051,0.000175,Soluble,High,No,No,Yes,No,No,No,No,-7.02,0,0,0,0,0,0.55,1,3,0,2.52
Molecule 53,0.217142857,S=C1NC(=O)/C(=C\c2cccc(c2)O)/N1,C10H8N2O2S,220.25,15,6,0.0,1,2,3,67.48,93.45,1.08,1.32,-0.13,0.26,2.3,0.97,-2.27,1.19,0.00541,Soluble,-2.88,0.288,0.00131,Soluble,-2.77,0.371,0.00168,Soluble,High,No,No,Yes,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,2,1,2.56
Molecule 54,0.204472843,O=C(Cc1ccccc1)OCCNC(=O)c1cccnc1.Cl,C16H17ClN2O3,320.77,22,12,0.19,8,4,1,84.39,68.29,0.0,2.86,2.4,1.54,2.6,1.88,-3.51,0.1,0.000312,Soluble,-3.95,0.0357,0.000111,Soluble,-5.44,0.00116,3.62e-06,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.23,0,0,0,0,0,0.55,0,0,1,2.19
Molecule 55,0.208360129,C=CCc1ccccc1OCC(CN1CCOCC1)O.Cl,C16H24ClNO3,313.82,21,6,0.5,7,4,1,89.79,41.93,0.0,3.19,1.91,1.48,2.94,1.9,-3.54,0.0895,0.000285,Soluble,-3.74,0.0568,0.000181,Soluble,-3.46,0.11,0.00035,Soluble,High,Yes,No,No,No,No,No,No,-5.95,0,0,0,0,0,0.55,0,1,0,3.1
Molecule 56,0.208092486,COc1ccccc1NC(=O)C(C(C)C)Br,C12H16BrNO2,286.16,16,6,0.42,5,2,1,69.54,38.33,2.84,3.22,2.86,2.51,2.71,2.83,-3.59,0.0735,0.000257,Soluble,-3.7,0.0574,0.000201,Soluble,-4.24,0.0163,5.7e-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.76,0,0,0,0,0,0.55,0,1,0,2.4
Molecule 57,0.198045603,COc1ccc(cc1)N1C(=O)C=CC1=O,C11H9NO3,203.19,15,6,0.09,2,3,0,57.5,46.61,2.03,1.06,0.74,0.82,1.24,1.18,-1.93,2.38,0.0117,Very soluble,-1.63,4.76,0.0234,Very soluble,-2.29,1.05,0.00519,Soluble,High,Yes,No,Yes,No,No,No,No,-6.79,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 58,0.407429245,N#Cc1c(NC(=O)/C=C\C(=O)O)sc2c1CCCC2,C13H12N2O3S,276.31,19,5,0.31,4,4,2,71.69,118.43,1.4,2.38,1.89,0.64,3.0,1.86,-2.98,0.287,0.00104,Soluble,-4.51,0.00858,3.1e-05,Moderately soluble,-2.33,1.31,0.00473,Soluble,High,No,No,Yes,No,No,No,No,-6.3,0,0,0,0,0,0.56,0,1,0,3.02
Molecule 61,0.316789216,C=CCNC(=O)c1sc2c(c1Cl)cccc2,C12H10ClNOS,251.73,16,9,0.08,4,1,1,68.97,57.34,2.77,3.82,3.47,2.89,4.49,3.49,-3.96,0.0276,0.00011,Soluble,-4.72,0.0048,1.91e-05,Moderately soluble,-4.82,0.00385,1.53e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.12,0,0,0,0,0,0.55,0,1,1,2.43
Molecule 62,0.388598022,Nc1sc(c(n1)c1cccs1)C(=O)C(F)(F)F,C9H5F3N2OS2,278.27,17,10,0.11,3,5,1,60.22,112.46,1.59,3.12,4.47,0.85,4.49,2.9,-3.77,0.0475,0.000171,Soluble,-5.15,0.00197,7.07e-06,Moderately soluble,-3.56,0.0775,0.000279,Soluble,High,No,No,Yes,Yes,No,No,No,-5.78,0,0,0,0,0,0.55,0,0,0,2.97
Molecule 63,0.197816313,N#Cc1ccc(cc1)C(=O)Nc1nccs1,C11H7N3OS,229.26,16,11,0.0,3,3,1,61.04,94.02,1.4,2.14,2.08,0.7,2.7,1.8,-2.92,0.275,0.0012,Soluble,-3.75,0.0411,0.000179,Soluble,-3.9,0.0285,0.000124,Soluble,High,No,No,Yes,No,No,No,No,-6.18,0,0,0,0,0,0.55,0,0,1,2.11
Molecule 64,0.234355045,N#C/C(=C\c1ccccc1)/C(=O)Nc1ccccc1C,C17H14N2O,262.31,20,12,0.06,4,2,1,79.89,52.89,2.63,3.77,3.24,2.72,3.39,3.15,-4.02,0.025,9.52e-05,Moderately soluble,-4.57,0.007,2.67e-05,Moderately soluble,-5.48,0.000867,3.3e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.22,0,0,0,0,0,0.55,0,2,1,2.49
Molecule 66,0.182345361,N#C/C(=C/c1ccccc1)/C(=O)NCc1ccccc1,C17H14N2O,262.31,20,12,0.06,5,2,1,78.19,52.89,2.48,3.05,2.65,2.45,3.26,2.78,-3.5,0.0826,0.000315,Soluble,-3.83,0.0391,0.000149,Soluble,-5.5,0.000833,3.18e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.73,0,0,0,0,0,0.55,0,2,0,2.39
Molecule 67,0.213497729,CCCOc1ccccc1NC(=O)/C=C/C(=O)N,C13H16N2O3,248.28,18,6,0.23,7,3,2,68.91,81.42,2.25,1.13,1.26,0.94,1.44,1.4,-1.88,3.3,0.0133,Very soluble,-2.43,0.915,0.00368,Soluble,-3.02,0.237,0.000955,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,1,1,2.27
Molecule 72,0.247975078,C#CCOC(=O)CSc1nc2c(s1)cccc2,C12H9NO2S2,263.34,17,9,0.17,5,3,0,70.02,92.73,2.8,3.19,2.64,2.14,3.93,2.94,-3.54,0.0752,0.000286,Soluble,-4.81,0.00409,1.55e-05,Moderately soluble,-3.66,0.0571,0.000217,Soluble,High,No,No,Yes,Yes,Yes,No,No,-5.64,0,0,0,0,0,0.55,0,1,0,2.88
Molecule 76,0.216216216,N#Cc1ccc(cc1)C(=O)Nc1cccc(c1)C(=O)C,C16H12N2O2,264.28,20,12,0.06,4,3,1,75.57,69.96,2.1,2.44,2.82,1.9,3.01,2.45,-3.2,0.168,0.000637,Soluble,-3.55,0.0741,0.00028,Soluble,-5.34,0.00121,4.58e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.18,0,0,0,0,0,0.55,0,0,0,1.83
Molecule 77,0.164041995,C=CCNC(=O)COc1ccc(cc1)[N+](=O)[O-],C11H12N2O4,236.22,17,6,0.18,7,4,1,63.51,84.15,1.59,1.87,1.28,1.26,-0.12,1.18,-2.28,1.23,0.00523,Soluble,-3.26,0.13,0.000551,Soluble,-2.78,0.39,0.00165,Soluble,High,No,No,No,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,3,1,2.01
Molecule 80,0.377182771,O=Cc1c(Sc2ncccn2)nc2n(c1=O)cccc2C,C14H10N4O2S,298.32,21,16,0.07,3,5,0,77.97,102.52,1.96,1.06,1.76,0.33,2.15,1.45,-2.72,0.564,0.00189,Soluble,-2.8,0.468,0.00157,Soluble,-4.62,0.00717,2.4e-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-7.37,0,0,0,0,0,0.55,0,1,0,2.42
Molecule 81,0.398428053,C=CCN=Cc1c(NCC=C)nc2n(c1=O)cccc2,C15H16N4O,268.31,20,10,0.13,6,3,1,82.51,58.76,3.11,1.68,1.71,1.61,2.91,2.2,-2.54,0.781,0.00291,Soluble,-2.53,0.795,0.00296,Soluble,-4.26,0.0148,5.52e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.74,0,0,0,0,0,0.55,0,2,0,2.95
Molecule 85,0.113864702,O=C(C(=O)Nc1ccccc1)Nc1ccccc1,C14H12N2O2,240.26,18,12,0.0,5,2,2,69.78,58.2,2.2,2.37,1.88,1.87,1.7,2.0,-2.99,0.248,0.00103,Soluble,-3.23,0.141,0.000585,Soluble,-4.92,0.00288,1.2e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.08,0,0,0,0,0,0.55,0,1,1,1.52
Molecule 90,0.399047052,N#CC1=C(SC)NC(=O)CC1c1ccccc1Cl,C13H11ClN2OS,278.76,18,6,0.23,2,2,1,76.93,78.19,2.24,2.18,2.66,1.81,3.1,2.4,-3.06,0.245,0.000878,Soluble,-3.46,0.0977,0.00035,Soluble,-4.66,0.00606,2.17e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.45,0,0,0,0,0,0.55,0,0,0,3.5
Molecule 92,0.145478375,C=CCN/C(=N\NC(=O)Nc1ccccc1)/S,C11H14N4OS,250.32,17,6,0.09,7,2,3,72.31,104.32,2.57,1.94,1.59,2.15,0.94,1.84,-2.41,0.966,0.00386,Soluble,-3.76,0.044,0.000176,Soluble,-3.56,0.0688,0.000275,Soluble,High,No,No,No,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,4,0,2.93
Molecule 93,0.123432343,S/C(=N/Nc1ccccc1)/Nc1ccccc1,C13H13N3S,243.33,17,12,0.0,4,1,2,76.19,75.22,2.08,3.84,3.03,3.35,2.25,2.91,-4.03,0.0229,9.41e-05,Moderately soluble,-5.12,0.00186,7.66e-06,Moderately soluble,-5.23,0.00144,5.92e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-5.06,0,0,0,0,0,0.55,0,3,2,2.92
Molecule 94,0.292100429,C=CCn1c(S)nc2c(c1=O)cccc2,C11H10N2OS,218.27,15,10,0.09,2,2,0,63.66,73.69,2.38,2.1,1.87,2.23,2.4,2.2,-2.88,0.289,0.00133,Soluble,-3.28,0.115,0.000527,Soluble,-3.38,0.0912,0.000418,Soluble,High,Yes,No,Yes,No,No,No,No,-6.14,0,0,0,0,0,0.55,0,2,1,2.05
Molecule 96,0.153446034,O=S(=O)(/C=C/c1ccccc1)NNc1ccccc1,C14H14N2O2S,274.34,19,12,0.0,5,3,2,77.13,66.58,1.86,3.19,3.38,2.34,1.26,2.41,-3.69,0.0563,0.000205,Soluble,-4.26,0.0151,5.5e-05,Moderately soluble,-5.03,0.00255,9.29e-06,Moderately soluble,High,Yes,No,No,No,Yes,No,No,-5.71,0,0,0,0,0,0.55,0,0,0,3.09
Molecule 97,0.147668394,N#C/C(=C/c1cccnc1)/C(=S)N,C9H7N3S,189.24,13,6,0.0,2,2,1,54.19,94.79,1.19,0.68,1.17,-0.27,2.12,0.98,-1.65,4.22,0.0223,Very soluble,-2.25,1.07,0.00566,Soluble,-2.0,1.91,0.0101,Soluble,High,No,No,Yes,No,No,No,No,-6.97,0,0,0,0,1,0.55,0,3,1,2.45
Molecule 98,0.130890052,CCc1ccc(cc1)/C=C(\C(=S)N)/C#N,C12H12N2S,216.3,15,6,0.17,3,1,1,66.17,81.9,2.25,2.55,2.33,1.88,3.52,2.51,-2.89,0.282,0.0013,Soluble,-3.92,0.0262,0.000121,Soluble,-3.17,0.148,0.000682,Soluble,High,No,No,Yes,Yes,No,No,No,-5.81,0,0,0,0,0,0.55,0,3,1,2.46
Molecule 99,0.18152662,CCOc1ccc(cc1)/C=C(\C(=O)OCC)/C#N,C14H15NO3,245.27,18,6,0.29,6,4,0,68.09,59.32,2.94,2.77,2.45,1.76,2.8,2.54,-2.96,0.271,0.00111,Soluble,-3.67,0.0523,0.000213,Soluble,-3.59,0.0626,0.000255,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.83,0,0,0,0,0,0.55,0,2,1,2.54
Molecule 100,0.220878421,COc1ccc(cc1/C=C(\C(=S)N)/C#N)OC,C12H12N2O2S,248.3,17,6,0.17,4,3,1,69.38,100.36,2.3,1.69,1.79,0.68,2.77,1.85,-2.44,0.899,0.00362,Soluble,-3.41,0.0961,0.000387,Soluble,-2.63,0.585,0.00236,Soluble,High,No,No,Yes,Yes,No,No,Yes,-6.61,0,0,0,0,0,0.55,0,3,1,2.58
Molecule 101,0.14928292,COc1ccc(cc1)/C=C(\C(=S)N)/C#N,C11H10N2OS,218.27,15,6,0.09,3,2,1,62.89,91.13,1.95,1.72,1.78,0.98,2.7,1.83,-2.37,0.921,0.00422,Soluble,-3.25,0.123,0.000563,Soluble,-2.5,0.687,0.00315,Soluble,High,No,No,Yes,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,3,1,2.24
Molecule 102,0.21356147,CCOC(=O)/C(=C\c1ccc(c(c1)OC)O)/C#N,C13H13NO4,247.25,18,6,0.23,5,5,1,65.31,79.55,2.2,2.39,1.76,0.94,1.95,1.85,-2.8,0.396,0.0016,Soluble,-3.7,0.0491,0.000199,Soluble,-2.61,0.603,0.00244,Soluble,High,No,No,Yes,No,No,No,No,-6.11,0,0,0,0,0,0.55,0,2,1,2.57
Molecule 108,0.21361649,O=Cc1cc(cc2c1OCOC2)C(=O)O,C10H8O5,208.17,15,6,0.2,2,5,1,49.22,72.83,1.15,0.4,0.91,0.19,1.64,0.86,-1.55,5.91,0.0284,Very soluble,-1.5,6.65,0.0319,Very soluble,-1.76,3.63,0.0175,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.85,0,1,1,2.41
Molecule 109,0.184746877,O=C(Nc1cccc(c1)C(F)(F)F)/C=C/C(=O)N,C11H9F3N2O2,258.2,18,6,0.09,5,5,2,57.8,72.19,1.49,1.68,2.65,1.63,1.73,1.84,-2.42,0.991,0.00384,Soluble,-2.81,0.399,0.00155,Soluble,-2.97,0.278,0.00108,Soluble,High,Yes,No,No,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,0,1.97
Molecule 110,0.256234414,NC(=S)NC1=NN(CC1)c1cccc(c1)C,C11H14N4S,234.32,16,6,0.27,3,1,2,76.36,85.74,1.98,2.25,0.59,1.85,2.3,1.79,-2.79,0.38,0.00162,Soluble,-3.69,0.0482,0.000206,Soluble,-2.84,0.342,0.00146,Soluble,High,No,No,Yes,No,No,No,No,-6.13,0,0,0,0,0,0.55,0,1,1,2.79
Molecule 111,0.362007168,OC(=O)CN1C(=S)S/C(=C\c2ccco2)/C1=O,C10H7NO4S2,269.3,17,5,0.1,3,4,1,70.08,128.14,1.63,1.67,1.08,-0.47,2.27,1.24,-2.58,0.706,0.00262,Soluble,-3.98,0.0285,0.000106,Soluble,-1.68,5.64,0.0209,Soluble,High,No,No,Yes,No,No,No,No,-6.76,0,0,0,0,0,0.56,1,2,0,3.17
Molecule 114,0.156187955,C=CCNC(=O)COc1cccc2c1cccc2,C15H15NO2,241.29,18,10,0.13,6,2,1,72.2,38.33,2.44,3.19,2.52,2.34,3.14,2.73,-3.36,0.105,0.000436,Soluble,-3.67,0.052,0.000216,Soluble,-5.08,0.00203,8.39e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.51,0,0,0,0,0,0.55,0,1,1,1.93
